frame_index	time_ns	NMP_CORE_mean_CA_distance_A	LID_CORE_mean_CA_distance_A
0	0.0	26.314766910336417	34.49890998781923
1	0.2	27.11499705861442	33.156287289847185
2	0.4	26.69808649836074	33.43999768983977
3	0.6	26.53518143049079	33.80798519375975
4	0.8	26.348586446218082	33.86058877584475
5	1.0	26.330714297023476	33.34992915464822
6	1.2	26.203334910504246	32.399978048328606
7	1.4	26.60993853443044	32.857927584812195
8	1.6	26.30556486861174	34.33070704507926
9	1.8	26.443380082440882	33.406494843103815
10	2.0	26.80097811644071	33.070366367763356
11	2.2	26.110321192727124	34.1859277116309
12	2.4	26.336960072879133	33.565411988297235
13	2.6	26.447381180030995	33.83403314905954
14	2.8	26.79106560326804	34.10440223912717
15	3.0	25.689596297742757	33.424777838429506
16	3.2	26.272696764000948	34.830054497351405
17	3.4	26.16488038666699	34.845024983946786
18	3.6	26.244996706698053	35.456949487694956
19	3.8	26.11238431024325	34.15295518594903
20	4.0	26.17016829021931	34.79035477086692
21	4.2	26.07612441424748	34.84650906428922
22	4.4	26.683931704325747	35.33499753676746
23	4.6	26.375284211168516	34.81818735068405
24	4.8	26.22373003239212	33.046258960591594
25	5.0	26.446643239983782	32.95113346006088
26	5.2	26.659994742446575	33.03159726840197
27	5.4	26.515218758367883	33.331488873681515
28	5.6	26.81711146120417	33.46442385803087
29	5.8	25.908993435339074	33.78088445859684
30	6.0	26.56717647395513	33.01843273270476
31	6.2	25.91289795747924	32.61019121429712
32	6.4	26.217920045206778	34.57037372769305
33	6.6	26.384877642619575	34.96277714465865
34	6.8	26.571868228409567	35.42981931912738
35	7.0	26.33036809188727	37.10931494475803
36	7.2	25.79469967102724	33.97215965862746
37	7.4	25.920986536477397	34.73796367311826
38	7.6	25.971995260067626	35.080981979914476
39	7.8	26.049860316024752	34.84108708458673
40	8.0	26.41577939985234	34.51022322621271
41	8.2	26.63789669466775	35.13064888396699
42	8.4	26.10530271935602	32.945075368362566
43	8.6	26.095174098651476	34.15325494549374
44	8.8	26.0818325012837	34.58981370617529
45	9.0	26.427630153496988	33.76142549827658
46	9.2	26.2835379083196	35.8349648854181
47	9.4	26.22803540515293	33.820042628093205
48	9.6	26.05099620680228	33.57655156555787
49	9.8	25.908680090162395	33.21655336841107
50	10.0	26.082266024501234	33.25202436570798
51	10.2	26.708536948875764	33.22219927049826
52	10.4	26.17135981902647	33.070724434385106
53	10.6	26.375422593748112	33.31489614172195
54	10.8	26.344831933919256	34.722059879837445
55	11.0	25.71986413115541	33.42911712331265
56	11.2	26.747517375220163	34.09913082624874
57	11.4	26.21822017238309	35.04356694137604
58	11.6	26.491174053794943	35.28718831944183
59	11.8	26.572118028991692	34.8958274354777
60	12.0	27.04549162931595	34.67148786755833
61	12.2	26.70378245593135	35.530308806619
62	12.4	26.45864101767631	33.961132061857285
63	12.6	26.705300389680932	35.12849799762368
64	12.8	26.162675345275925	35.330950689500135
65	13.0	26.72370267367829	34.37697384094105
66	13.2	26.544143317672535	34.946696025751166
67	13.4	26.389807044396377	35.32245638849786
68	13.6	26.55225965466303	36.30612939396794
69	13.8	26.674099130399718	36.42895419642092
70	14.0	26.545607845468844	35.18517849805764
71	14.2	26.488927062907276	34.288529136599955
72	14.4	26.429369784739862	35.28148722199554
73	14.6	26.502201975695396	35.02867290110773
74	14.8	26.291534317464755	36.8278274806937
75	15.0	26.633350636226087	34.848747434631484
76	15.2	26.505657529017675	35.68283684515931
77	15.4	26.34428924883554	34.395654411206074
78	15.6	26.35677855921349	36.55072418840531
79	15.8	26.44510556445436	36.23039895121355
80	16.0	26.422792010361963	34.526434852434974
81	16.2	26.510134124849653	35.58760877483856
82	16.4	26.176960151833626	36.82349606790656
83	16.6	26.386921751844405	35.67433807645723
84	16.8	26.06253920757164	35.11926846161069
85	17.0	26.023363348428468	35.365355996964226
86	17.2	25.81832704004068	35.39299713986397
87	17.4	26.18038927239314	33.88227904086226
88	17.6	26.34590208491519	33.772335221091865
89	17.8	26.39770692767193	34.776358276228066
90	18.0	25.87679968799567	35.57384525402408
91	18.2	26.105325714388076	33.47225451220539
92	18.4	26.11929110010615	32.20981214097659
93	18.6	25.950884559008507	32.655351324927594
94	18.8	26.50349906470405	33.787205740420035
95	19.0	25.955536993804465	33.637628492338436
96	19.2	26.177507958844913	33.37974707635744
97	19.4	26.022403713317455	33.7761857392653
98	19.6	26.62752183803654	34.20254913270386
99	19.8	26.293112585142243	34.736159028473935
100	20.0	25.705179890483596	34.44927651453364
101	20.2	25.66545663745713	33.840985712778824
102	20.4	26.141802588086875	35.31474086925134
103	20.6	26.122490311596646	35.23148796004359
104	20.8	26.311829766903667	35.6247506808118
105	21.0	25.996030718067196	33.96058667359923
106	21.2	25.920701552869765	36.23315542599052
107	21.4	26.300440022559393	34.134414949030344
108	21.6	25.706541004096533	35.91529754548064
109	21.8	26.437545339091486	35.68458457730999
110	22.0	25.751279593606668	36.21341928853463
111	22.2	25.97503957096825	36.10478301458637
112	22.4	26.289914640484504	32.37608724975885
113	22.6	26.1571286432964	31.77874725173495
114	22.8	26.116107523495867	33.16862729833586
115	23.0	26.87908283636318	36.33887316045165
116	23.2	26.134983059409187	35.846700288667805
117	23.4	26.22420277254918	35.753279826933166
118	23.6	26.077503612461022	36.0396765696331
119	23.8	25.764593416506226	35.29901530617991
120	24.0	26.275831719930512	35.664417741872725
121	24.2	25.892494565524707	36.846177129879464
122	24.4	25.90633264815122	35.73942063047956
123	24.6	26.088857755334963	33.732191029005705
124	24.8	26.42697625824733	33.871035543128016
125	25.0	26.932774788389644	33.298647090346336
126	25.2	26.2986085548084	33.525251107837335
127	25.4	26.64154291729712	32.593201819261374
128	25.6	26.803675617479286	34.15466302886776
129	25.8	27.307176393011495	33.076494571325576
130	26.0	25.972939159373404	31.576851808958317
131	26.2	26.547987370418582	33.700799184954946
132	26.4	26.36924067756465	33.45027877396269
133	26.6	25.942520579121183	32.61401796965735
134	26.8	26.71035660936838	32.6330508032843
135	27.0	26.710070972058173	32.36672840723705
136	27.2	25.92624021118738	31.65070280122075
137	27.4	26.104327734895723	32.097803228454
138	27.6	26.113517646833195	31.16128545374682
139	27.8	26.04117748596987	30.25926762466393
140	28.0	25.593018331859366	30.850683431769795
141	28.2	26.31088044773395	32.43027207560708
142	28.4	26.29633442156786	31.47785466577011
143	28.6	26.12475635283606	32.18981604020702
144	28.8	25.972024431245018	32.799045694380396
145	29.0	25.80760339116095	32.911061797297776
146	29.2	26.21097071260587	33.879438285999555
147	29.4	26.137573006270213	31.263046413802304
148	29.6	26.13146443833378	31.773650414658533
149	29.8	26.224261406972055	32.07218736680584
150	30.0	26.761698461035625	32.31214260730703
151	30.2	25.960089391831872	33.602068093241236
152	30.4	25.86703010089976	36.13719746590979
153	30.6	26.00762704907816	36.19989713205132
154	30.8	26.337474246975393	35.769544070503414
155	31.0	25.610019219541194	33.96414453003845
156	31.2	25.886059558990002	33.757956448143716
157	31.4	25.73539132919114	34.51319838321822
158	31.6	25.542904204329062	34.15247680085953
159	31.8	25.897705414148874	31.43510083805063
160	32.0	25.422712698190573	35.192108609462196
161	32.2	26.03683510249896	36.86884941785873
162	32.4	25.95104709490815	34.50146553588964
163	32.6	26.147697218362676	35.18603658819239
164	32.8	25.81843955305569	34.847064586531225
165	33.0	26.29867482418708	35.09411394536024
166	33.2	26.45813597080395	35.62158597831639
167	33.4	26.69170705512385	36.77263779603395
168	33.6	26.430494775249908	35.84880894814582
169	33.8	26.69456117534113	36.667633377692866
170	34.0	26.18631053218317	34.831622086076
171	34.2	26.253877915857043	33.552946194318366
172	34.4	26.1183762549391	34.63125597066127
173	34.6	25.995550831343387	34.28463199461753
174	34.8	25.698827121020507	34.73663485686846
175	35.0	25.62176547729288	35.125922647060236
176	35.2	26.402073751610576	35.51155941754923
177	35.4	25.818734575105342	34.25358436980415
178	35.6	25.963161939670933	35.53131418213954
179	35.8	25.990185652763255	35.12783555077101
180	36.0	25.95213394614049	36.157385740912616
181	36.2	25.6456467212068	36.78761944452316
182	36.4	26.292006913539538	35.125604068289206
183	36.6	26.079627606528526	35.42611412585605
184	36.8	25.67948786244346	36.219171764694345
185	37.0	25.61129120282961	35.45028619404103
186	37.2	25.550382515677743	32.83319136110589
187	37.4	25.757103625248053	34.47397210879622
188	37.6	26.408222875021075	35.20888190775353
189	37.8	26.58275362087704	34.97452977766388
190	38.0	25.955279467810357	37.204490063094134
191	38.2	26.458364381092817	36.78037002797069
192	38.4	27.181048098655143	34.969173815647615
193	38.6	27.32914085008912	35.47109525973749
194	38.8	26.32991897308072	36.201173115372995
195	39.0	26.41210053349154	34.46064515494017
196	39.2	25.55062537635804	34.69071007179018
197	39.4	25.770635503207007	35.04162766180684
198	39.6	25.725111332319614	35.47170260064753
199	39.8	25.64576159332212	32.360088787407804
200	40.0	25.769932183267724	34.47521827467011
201	40.2	25.98864797460542	34.156263346350826
202	40.4	26.46398247514276	34.185323445658206
203	40.6	26.394242840221864	35.9190196981579
204	40.8	26.004956311092712	35.28398331046238
205	41.0	25.949026432318018	37.02437025141923
