trajectory	seed_lineage	partition_5	partition_50	open_direction_fraction	judgment	first_reference_entry_ns	subsequent_reference_exit_ns	first100_Vopen_mean	last100_Vopen_mean	first100_Vclosed_mean	last100_Vclosed_mean	OPEN_NOE_fraction	CLOSED_NOE_fraction	BOTH_FAR_fraction	BOTH_NEAR_fraction	within_direction_OPEN_NOE	within_direction_CLOSED_NOE	within_direction_BOTH_FAR	within_direction_BOTH_NEAR
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			8.9628	3.7678999999999996	8.2921	11.7799	0.0	0.0	1.0	0.0				
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			13.739899999999999	10.400799999999998	2.5417	11.183399999999999	0.0	0.01098901098901099	0.989010989010989	0.0				
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	FIRST_OPEN	FIRST_OPEN	0.958041958041958	RELATIVE_ONLY			2.8076	1.8156999999999999	18.7032	26.823199999999996	0.21078921078921078	0.0	0.7892107892107892	0.0	0.22002085505735142	0.0	0.7799791449426486	0.0
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	FIRST_OPEN	FIRST_OPEN	0.967032967032967	PARTIAL	188.0	253.0	4.4381	0.634	25.500300000000003	28.221000000000004	0.5614385614385614	0.0	0.4385614385614386	0.0	0.5805785123966942	0.0	0.4194214876033058	0.0
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	FIRST_OPEN	FIRST_OPEN	0.5994005994005994	RELATIVE_ONLY			7.6747000000000005	4.099100000000001	17.812600000000003	28.061799999999995	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_THEN_OPEN	NONE	0.09490509490509491	RELATIVE_ONLY			8.4993	8.5572	18.598399999999998	16.4284	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
R46A_ES07_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	NONE	0.0	NOT_APPLICABLE			9.4516	13.6657	12.9668	14.523099999999998	0.0	0.0	1.0	0.0				
R46A_ES08_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			15.203	15.281	1.5188000000000006	3.8807999999999994	0.0	0.1258741258741259	0.8741258741258742	0.0				
R46A_ES09_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			12.497199999999998	13.546000000000001	4.729	3.4341000000000004	0.0	0.002997002997002997	0.997002997002997	0.0				
R46A_ES10_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			7.598300000000002	6.754799999999998	2.6496000000000004	2.6503	0.0	0.027972027972027972	0.972027972027972	0.0				
R46A_ES11_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			7.378100000000001	11.334100000000001	9.9357	5.7112	0.0	0.002997002997002997	0.997002997002997	0.0				
R46A_ES12_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			11.7543	13.598799999999999	6.655600000000001	7.497000000000001	0.0	0.006993006993006993	0.993006993006993	0.0				
R46A_ES13_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			9.0791	7.243200000000001	1.5733000000000001	1.8429999999999997	0.0	0.07992007992007992	0.9200799200799201	0.0				
R46A_ES14_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_THEN_OPEN	FIRST_OPEN	0.4115884115884116	RELATIVE_ONLY			5.920200000000001	2.0366	13.185599999999999	26.6109	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
R46A_ES15_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_THEN_OPEN	FIRST_OPEN	0.9050949050949051	RELATIVE_ONLY	690.0		9.0741	1.1154	8.2277	25.736699999999995	0.34865134865134867	0.0	0.6513486513486514	0.0	0.3852097130242826	0.0	0.6147902869757175	0.0
R46A_ES16_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_THEN_OPEN	CLOSED_THEN_OPEN	0.6273726273726273	RELATIVE_ONLY			9.037500000000001	2.1087000000000002	3.3925000000000005	23.689199999999996	0.015984015984015984	0.000999000999000999	0.983016983016983	0.0	0.025477707006369428	0.0	0.9745222929936306	0.0
R46A_ES17_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_THEN_OPEN	ONLY_CLOSED	0.25374625374625376	RELATIVE_ONLY			13.5851	2.2899000000000003	8.0226	11.3069	0.0	0.003996003996003996	0.996003996003996	0.0	0.0	0.0	1.0	0.0
R46A_ES18_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	ONLY_CLOSED	ONLY_CLOSED	0.0	NOT_APPLICABLE			9.488999999999999	8.9801	2.9471	2.8504999999999994	0.0	0.06893106893106893	0.9310689310689311	0.0				
R46A_ES19_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	FIRST_OPEN	FIRST_OPEN	0.962037962037962	RELATIVE_ONLY			5.031600000000001	3.4789000000000003	16.2001	21.2711	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
R46A_ES20_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	FIRST_OPEN	FIRST_OPEN	0.978021978021978	RELATIVE_ONLY			2.6839	1.1971	20.0983	26.140400000000003	0.06393606393606394	0.0	0.936063936063936	0.0	0.06537282941777324	0.0	0.9346271705822268	0.0
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.08710000000000001	0.5279	30.353199999999998	28.1256	0.998001998001998	0.0	0.001998001998001998	0.0	0.998001998001998	0.0	0.001998001998001998	0.0
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.40369999999999995	0.16250000000000003	27.9452	29.570099999999996	0.999000999000999	0.0	0.000999000999000999	0.0	0.999000999000999	0.0	0.000999000999000999	0.0
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.0938	0.3373999999999999	24.601599999999998	28.8452	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
