trajectory	seed_lineage	persistence_saved_frames	persistence_ns	first_persistent_direction	first_persistent_start_ns	opposite_direction_departure_candidate	opposite_departure_start_ns	return_candidate	return_start_ns	strict_core_frames
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	77.0	False		False		0
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	582.0	False		False		0
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	OPEN_CONSENSUS	37.0	False		False		0
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	OPEN_CONSENSUS	82.0	False		False		0
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	OPEN_CONSENSUS	82.0	False		False		0
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	OPEN_CONSENSUS	53.0	False		False		0
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	OPEN_CONSENSUS	53.0	False		False		0
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	OPEN_CONSENSUS	53.0	False		False		0
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	OPEN_CONSENSUS	114.0	False		False		0
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	OPEN_CONSENSUS	537.0	False		False		0
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	OPEN_CONSENSUS	537.0	False		False		0
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	True	179.0	False		0
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	NO_PERSISTENT_CONSENSUS		False		False		0
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	NO_PERSISTENT_CONSENSUS		False		False		0
R46A_ES07_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	537.0	False		False		0
R46A_ES07_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	NO_PERSISTENT_CONSENSUS		False		False		0
R46A_ES07_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	NO_PERSISTENT_CONSENSUS		False		False		0
R46A_ES08_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES08_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES08_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES09_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		1
R46A_ES09_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	False		False		1
