trajectory	seed_lineage	bin_index	start_time_ns	end_time_ns	n_saved_frames	bin_route
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	1	20.0	69.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	2	70.0	119.0	50	CLOSED_CONSENSUS
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	3	120.0	169.0	50	CLOSED_CONSENSUS
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	4	170.0	219.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	220.0	269.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	6	270.0	319.0	50	CLOSED_CONSENSUS
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	7	320.0	369.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	8	370.0	419.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	9	420.0	469.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	10	470.0	519.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	11	520.0	569.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	12	570.0	619.0	50	CLOSED_CONSENSUS
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	13	620.0	669.0	50	CLOSED_CONSENSUS
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	14	670.0	719.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	15	720.0	769.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	16	770.0	819.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	17	820.0	869.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	18	870.0	919.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	19	920.0	969.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	970.0	1019.0	50	READOUT_CONFLICT
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	21	1020.0	1020.0	1	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	1	20.0	69.0	50	CLOSED_CONSENSUS
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	2	70.0	119.0	50	CLOSED_CONSENSUS
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	3	120.0	169.0	50	CLOSED_CONSENSUS
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	4	170.0	219.0	50	CLOSED_CONSENSUS
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	220.0	269.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	6	270.0	319.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	7	320.0	369.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	8	370.0	419.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	9	420.0	469.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	10	470.0	519.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	11	520.0	569.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	12	570.0	619.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	13	620.0	669.0	50	CLOSED_CONSENSUS
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	14	670.0	719.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	15	720.0	769.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	16	770.0	819.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	17	820.0	869.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	18	870.0	919.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	19	920.0	969.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	970.0	1019.0	50	READOUT_CONFLICT
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	21	1020.0	1020.0	1	CLOSED_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	1	20.0	69.0	50	READOUT_CONFLICT
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	2	70.0	119.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	3	120.0	169.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	4	170.0	219.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	220.0	269.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	6	270.0	319.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	7	320.0	369.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	8	370.0	419.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	9	420.0	469.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	10	470.0	519.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	11	520.0	569.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	12	570.0	619.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	13	620.0	669.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	14	670.0	719.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	15	720.0	769.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	16	770.0	819.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	17	820.0	869.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	18	870.0	919.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	19	920.0	969.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	970.0	1019.0	50	OPEN_CONSENSUS
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	21	1020.0	1020.0	1	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	1	20.0	69.0	50	READOUT_CONFLICT
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	2	70.0	119.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	3	120.0	169.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	4	170.0	219.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	220.0	269.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	6	270.0	319.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	7	320.0	369.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	8	370.0	419.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	9	420.0	469.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	10	470.0	519.0	50	OPEN_CONSENSUS
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	11	520.0	569.0	50	OPEN_CONSENSUS
