trajectory	seed_lineage	label	start_time_ns	end_time_ns	length_saved_frames	length_ns
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	20.0	28.0	9	9
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	29.0	29.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	30.0	30.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	31.0	63.0	33	33
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	64.0	68.0	5	5
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	69.0	71.0	3	3
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	72.0	73.0	2	2
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	74.0	76.0	3	3
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	77.0	108.0	32	32
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	109.0	109.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	110.0	110.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	111.0	111.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	112.0	151.0	40	40
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	152.0	152.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	153.0	153.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	154.0	155.0	2	2
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	CLOSED_CONSENSUS	156.0	156.0	1	1
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	READOUT_CONFLICT	157.0	159.0	3	3
