trajectory,seed,relative_label_20samples,terminal_initial_lid_displacement_A,delta_open_NMR_A,delta_closed_NMR_A,terminal_nearest_open_MD_A,uniform_primary_events,uniform_internal_disagreement_frames_in_events,SI_primary_events,SI_internal_disagreement_frames_in_events
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,9.661480519994704,-3.448136082151448,4.057605729274824,7.816533296652923,0,0,0,0
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,6.513837464980517,-2.7746581230295746,3.108449692275479,12.879883040254734,0,0,0,0
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,14.624648368114574,-10.268635787750513,8.599246599374961,3.12054901574757,1,0,1,0
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,13.92597048967771,-10.776192826140914,9.343437046960933,2.008292356633345,1,0,1,0
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,13.011656498368655,-4.223302453560255,7.222524139664706,7.289250852593481,2,154,2,182
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_LOSS_OF_SEED_PREFERENCE_WITHOUT_OPPOSITE_AGREEMENT,9.760710831051128,-4.2085576612204285,1.339652035210797,10.95505126460835,0,0,0,0
R46A_ES07_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,5.367494620851922,1.2968153810101022,3.4544349176940665,14.82874402961123,0,0,0,0
R46A_ES08_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,5.7513221694001455,-1.2005314295150598,-2.786838565655075,16.572013542407134,0,0,0,0
R46A_ES09_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,6.795607578797148,0.3559577763197872,1.8424451500573928,16.221669992976054,0,0,0,0
R46A_ES10_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,2.010776652405778,0.2787186280177174,0.4528527294147495,13.601390739744149,0,0,0,0
R46A_ES11_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,6.788478410003886,5.907927888790313,-3.204471198520408,16.120178821779525,0,0,0,0
R46A_ES12_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,4.507560957728956,-1.4440576794186306,0.6326017783109608,12.859704061563033,0,0,0,0
R46A_ES13_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,2.43407615469303,-0.15699648227445095,0.44013182488750147,13.878575293060573,0,0,0,0
R46A_ES14_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,17.267672986003618,-12.086782061486465,13.733288791689176,3.813160840651269,2,0,2,1
R46A_ES15_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,15.4390277948105,-16.11953524319354,10.036481581902084,2.6571318184857287,1,0,1,0
R46A_ES16_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,16.018778715051244,-10.915761777742755,10.790182270152453,4.1897448353692415,2,0,2,1
R46A_ES17_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,11.66898500667929,-8.843977341507149,5.414687462163739,5.907218239927854,4,118,4,119
R46A_ES18_2021_11_08_NaCl170mM_GMX_JeanZay,closed,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,2.1741185003708896,-0.21625535828417597,0.36386196951989813,13.93692600138369,0,0,0,0
R46A_ES19_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,14.669711679128328,-8.912520558303893,8.346137225968896,4.915585019669219,1,3,1,3
R46A_ES20_2021_11_08_NaCl170mM_GMX_JeanZay,closed,SUSTAINED_OPPOSITE_REFERENCE_PREFERENCE,15.882485930263954,-8.65286763753102,8.535314639941724,2.587827533120137,1,0,1,0
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,5.4805748775262195,3.498745247092172,-1.010150037825305,1.0379492199963665,0,0,0,0
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,2.9402188739564363,0.8666058870711009,-0.01869187663018934,1.516135989512768,0,0,0,0
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,2.87386207445273,0.11423145824061187,0.47324831343390983,2.839342753518041,0,0,0,0
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.7412769330918896,-0.3270119598601271,0.8358130432303241,2.8434849519071648,0,0,0,0
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.209206092839418,-0.27229801348091565,1.097139558248502,2.649931604467543,0,0,0,0
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,4.991439780662952,-1.8574582508277397,3.0102455213607016,1.8282216188026614,0,0,0,0
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.3801431058988642,-0.5290771006520494,1.640048490010562,3.253019074837607,0,0,0,0
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.745393663847251,-0.2983206196966197,-0.30256361191688796,2.2334610443022473,0,0,0,0
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.8712561258653144,0.21181055931704806,1.462943276231659,1.7388138082921967,0,0,0,0
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.5567443998349733,-0.2902863405091862,0.35292177851896867,2.190348174331554,0,0,0,0
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,5.197091321523593,0.5773149445351855,0.2480534875220748,1.4959122366845687,0,0,0,0
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.6243978966636705,0.6666384459182355,0.24658043063615231,3.0709663489655403,0,0,0,0
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.678927742110879,0.677795978706135,2.6965724627448147,2.3437831301859466,0,0,0,0
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,5.220905289895974,3.029316848721175,-0.26747955450400696,1.1407366313755762,0,0,0,0
R60A_GS15_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,4.975017572124521,2.96851968618998,-0.20474763386601325,1.882792907663867,0,0,0,0
R60A_GS16_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,5.068403251752114,-0.9724315206881791,2.048519594234449,2.264704676673971,0,0,0,0
R60A_GS17_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,4.3186301052629,0.1247715372913345,1.8419219166824838,3.245011658267771,0,0,0,0
R60A_GS18_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,3.7878860535000127,0.8497547093332805,0.7159540168375429,3.550905738149657,0,0,0,0
R60A_GS19_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,4.212017409949542,-0.15889782426532228,0.9821102438703164,1.680085182521559,0,0,0,0
R60A_GS20_2021_11_19_NaCl170mM_GMX_JeanZay,open,NO_SUSTAINED_LOSS_OF_SEED_PREFERENCE,2.400639724366722,0.2667183246588589,-0.8710196792297644,1.7371027223459459,0,0,0,0
