trajectory,seed,tau,n_direction,open_fraction,far_fraction,label
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay,closed,0.5,0,,,NA
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay,closed,1.0,0,,,NA
R46A_ES01_2021_11_08_NaCl170mM_GMX_JeanZay,closed,2.0,0,,,NA
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay,closed,0.5,0,,,NA
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay,closed,1.0,0,,,NA
R46A_ES02_2021_11_08_NaCl170mM_GMX_JeanZay,closed,2.0,0,,,NA
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay,closed,0.5,959,0.005213764337851929,0.9947862356621481,relative_only
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay,closed,1.0,959,0.22002085505735142,0.7799791449426486,relative_only
R46A_ES03_2021_11_08_NaCl170mM_GMX_JeanZay,closed,2.0,959,0.9280500521376434,0.07194994786235662,agreement
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay,closed,0.5,968,0.047520661157024795,0.9524793388429752,relative_only
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay,closed,1.0,968,0.5805785123966942,0.4194214876033058,partial
R46A_ES04_2021_11_08_NaCl170mM_GMX_JeanZay,closed,2.0,968,0.9659090909090909,0.03409090909090909,agreement
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay,closed,0.5,600,0.0,1.0,relative_only
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay,closed,1.0,600,0.0,1.0,relative_only
R46A_ES05_2021_11_08_NaCl170mM_GMX_JeanZay,closed,2.0,600,0.021666666666666667,0.9783333333333334,relative_only
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay,closed,0.5,95,0.0,1.0,relative_only
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay,closed,1.0,95,0.0,1.0,relative_only
R46A_ES06_2021_11_08_NaCl170mM_GMX_JeanZay,closed,2.0,95,0.0,1.0,relative_only
