scheme,channel,n,fixed_mean_loss,loss_sum,raw_upper_violations,distance_over_one_sigma,max_abs_standardized_residual,distance_domain_fixed_mean_loss,role,relative_entropy,entropy_effective_fraction,max_weight,weight_ess_not_independent_samples
uniform,saxs,90,10.018763946084297,901.6887551475867,,,12.217628184031106,,unupdated baseline,1.1102230246251568e-16,1.0000000000000002,0.0008368200836820083,1195.0
uniform,amide,292,0.9334062043212217,272.55461166179674,44,31,6.001208465817382,4.431344470223331,unupdated baseline,1.1102230246251568e-16,1.0000000000000002,0.0008368200836820083,1195.0
uniform,methyl,40,3.8930820396610017,155.72328158644007,8,6,6.432443445147375,10.334549009083318,unupdated baseline,1.1102230246251568e-16,1.0000000000000002,0.0008368200836820083,1195.0
saxs_theta6,saxs,90,1.1706853480258363,105.36168132232527,,,2.9271485808063953,,conditional cross-observable,-2.9560348969268837,0.05202479240898743,0.11349731398252705,22.3183954225489
saxs_theta6,amide,292,0.9647221682361592,281.6988731249585,51,29,6.073195301213796,4.721103332730495,conditional cross-observable,-2.9560348969268837,0.05202479240898743,0.11349731398252705,22.3183954225489
saxs_theta6,methyl,40,4.4694869567218785,178.77947826887512,7,7,7.482171607660165,14.770026213060541,conditional cross-observable,-2.9560348969268837,0.05202479240898743,0.11349731398252705,22.3183954225489
saxs_theta60,saxs,90,2.1178445571431785,190.60601014288608,,,5.01111700973186,,conditional cross-observable,-1.0120750166512127,0.36346400268991663,0.03266126998320489,201.80910393430895
saxs_theta60,amide,292,0.9709870735221369,283.528225468464,47,32,6.020101480512015,4.604626204371183,conditional cross-observable,-1.0120750166512127,0.36346400268991663,0.03266126998320489,201.80910393430895
saxs_theta60,methyl,40,3.9274882108604183,157.09952843441673,9,8,6.7372094900978095,11.119088465189026,conditional cross-observable,-1.0120750166512127,0.36346400268991663,0.03266126998320489,201.80910393430895
local_joint_v2,saxs,90,1.5305572660614073,137.75015394552665,,,3.5576093096834813,,local joint training fit,-4.206660571592601,0.014896029596218871,0.16734921199981553,12.615770709249727
local_joint_v2,amide,292,0.8278383342859753,241.72879361150478,49,27,5.768114110680849,3.341224971810786,local joint training fit,-4.206660571592601,0.014896029596218871,0.16734921199981553,12.615770709249727
local_joint_v2,methyl,40,1.5389460978455218,61.557843913820875,8,6,4.6919887368104645,3.111907766282605,local joint training fit,-4.206660571592601,0.014896029596218871,0.16734921199981553,12.615770709249727
author_joint,saxs,90,1.9207256339144516,172.86530705230064,,,4.394407708274561,,author fixed-weight reference,-1.746847605799901,0.17432261177696184,0.04274802015873237,84.58330077783258
author_joint,amide,292,0.8884242430032782,259.41987895695723,47,29,5.900189958527487,4.03001921675884,author fixed-weight reference,-1.746847605799901,0.17432261177696184,0.04274802015873237,84.58330077783258
author_joint,methyl,40,2.45945042380601,98.37801695224042,8,6,5.225927521616866,5.557343447802566,author fixed-weight reference,-1.746847605799901,0.17432261177696184,0.04274802015873237,84.58330077783258
